																							песок		цемент				котлован			
Артикул	Наименование	Ед. изм.	Кол-во	Цена	Стоимость	марка станции	производительность	расч на кол-во чел	фекальный нас	с/п	гл заложения подводящей трубы	используется для расчетов	Себестоимость	монтаж	ПНР	РШМ	якорение	дл	шир	выс	утепл	вода	вручную 0,2м	техника 0,4м	вручную 0,2м		техника 0,4м		вручную 0,2м	техника 0,4м	прокл тр	ширина грунтозацепов
																									кг	мешок	кг	мешок	0,2	0,4		
00-00000365	Станция БиоДека 3 С 600                                      со скидкой	шт.	1	69 300	65 900	БиоДека		3		С	600	БиоДека3	48 510	14 000	7 500	12 500		1,06	1,06	1,84	3	1,1	2,72	5,43					4,35	7,06	500	
00-00000366	Станция БиоДека 3 П 600                                      со скидкой	шт.	1	71 300	67 900	БиоДека		3		П	600	БиоДека3	49 910	14 000	7 500	12 500		1,06	1,06	1,84	3	1,1	2,72	5,43					4,35	7,06	500	
00-00000367	Станция БиоДека 5 С 800                                      со скидкой	шт.	1	76 600	73 200	БиоДека		5		С	800	БиоДека5…	49 790	16 000	7 500	12 500		1,06	1,06	2,34	3	1,4	3,35	6,72					5,41	8,79	500	
00-00000368	Станция БиоДека 5 П 800                                      со скидкой	шт.	1	78 600	75 200	БиоДека		5		П	800	БиоДека5…	51 090	16 000	7 500	12 500		1,06	1,06	2,34	3	1,4	3,35	6,72					5,41	8,79	500	
00-00000369	Станция БиоДека 5 С 1300                                      со скидкой	шт.	1	83 680	79 500	БиоДека		5		С	1 300	БиоДека5…	54 392	19 000	7 500	12 500		1,06	1,06	2,84	3	1,4	3,97	8,01					6,48	10,52	800	
00-00000370	Станция БиоДека 5 П 1300                                      со скидкой	шт.	1	85 680	81 500	БиоДека		5		П	1 300	БиоДека5…	55 692	19 000	7 500	12 500		1,06	1,06	2,84	3	1,4	3,97	8,01					6,48	10,52	800	
00-00000371	Станция БиоДека 5 С 1800                                      со скидкой	шт.	1	107 890	102 500	БиоДека		5		С	1 800	БиоДека5…	70 129	21 000	7 500	12 500		1,06	1,06	3,34	3	1,4	4,60	9,30					7,55	12,25	800	
00-00000372	Станция БиоДека 5 П 1800                                      со скидкой	шт.	1	109 890	104 500	БиоДека		5		П	1 800	БиоДека5…	71 429	21 000	7 500	12 500		1,06	1,06	3,34	3	1,4	4,60	9,30					7,55	12,25	800	
00-00000373	Станция БиоДека 8 С 800                                      со скидкой	шт.	1	102 980	97 900	БиоДека		8		С	800	БиоДека5…	66 937	18 000	8 500	13 500		1,35	1,35	2,35	4	2,2	4,45	8,42					7,81	11,79	500	
00-00000374	Станция БиоДека 8 П 800                                      со скидкой	шт.	1	104 980	99 900	БиоДека		8		П	800	БиоДека5…	68 237	18 000	8 500	13 500		1,35	1,35	2,35	4	2,2	4,45	8,42					7,81	11,79	500	
00-00000375	Станция БиоДека 8 С 1300                                      со скидкой	шт.	1	113 350	107 700	БиоДека		8		С	1 300	БиоДека5…	73 678	21 000	8 500	13 500		1,35	1,35	2,85	4	2,2	5,26	10,02					9,34	14,10	800	
00-00000376	Станция БиоДека 8 П 1300                                      со скидкой	шт.	1	115 350	109 700	БиоДека		8		П	1 300	БиоДека5…	74 978	21 000	8 500	13 500		1,35	1,35	2,85	4	2,2	5,26	10,02					9,34	14,10	800	
00-00000377	Станция БиоДека 8 С 1800                                      со скидкой	шт.	1	124 700	118 500	БиоДека		8		С	1 800	БиоДека5…	81 055	23 000	8 500	13 500		1,35	1,35	3,35	4	2,2	6,08	11,61					10,87	16,41	800	
00-00000378	Станция БиоДека 8 П 1800                                      со скидкой	шт.	1	126 700	120 500	БиоДека		8		П	1 800	БиоДека5…	82 355	23 000	8 500	13 500		1,35	1,35	3,35	4	2,2	6,08	11,61					10,87	16,41	800	
00-00000379	Станция БиоДека 10 С 800                                      со скидкой	шт.	1	129 780	123 300	БиоДека		10		С	800	БиоДека5…	84 357	21 000	9 500	14 500		1,6	1,6	2,35	5	3,1	5,48	9,96					10,20	14,69	500	
00-00000380	Станция БиоДека 10 П 800                                      со скидкой	шт.	1	131 780	125 300	БиоДека		10		П	800	БиоДека5…	85 657	21 000	9 500	14 500		1,6	1,6	2,35	5	3,1	5,48	9,96					10,20	14,69	500	
00-00000381	Станция БиоДека 10 С 1000                                      со скидкой	шт.	1	136 820	130 000	БиоДека		10		С	1 000	БиоДека5…	88 933	22 000	9 500	14 500		1,6	1,6	2,56	5	3,1	5,89	10,75					11,04	15,90	600	
00-00000382	Станция БиоДека 10 П 1000                                      со скидкой	шт.	1	138 820	132 000	БиоДека		10		П	1 000	БиоДека5…	90 233	22 000	9 500	14 500		1,6	1,6	2,56	5	3,1	5,89	10,75					11,04	15,90	600	
00-00000383	Станция БиоДека 10 С 1500                                      со скидкой	шт.	1	158 000	150 100	БиоДека		10		С	1 500	БиоДека5…	102 700	25 000	9 500	14 500		1,6	1,6	3,06	5	3,1	6,89	12,63					13,04	18,78	800	
00-00000384	Станция БиоДека 10 П 1500                                      со скидкой	шт.	1	160 000	152 100	БиоДека		10		П	1 500	БиоДека5…	104 000	25 000	9 500	14 500		1,6	1,6	3,06	5	3,1	6,89	12,63					13,04	18,78	800	
00-00000385	Станция БиоДека 15 С 800                                      со скидкой	шт.	1	158 940	151 000	БиоДека		15		С	800	БиоДека5…	103 311	24 000	10 500	15 500		2,00	2,00	2,36	6	4,9	7,33	12,66					14,75	20,07	500	
00-00000386	Станция БиоДека 15 П 800                                      со скидкой	шт.	1	160 940	153 000	БиоДека		15		П	800	БиоДека5…	104 611	24 000	10 500	15 500		2,00	2,00	2,36	6	4,9	7,33	12,66					14,75	20,07	500	
00-00000387	Станция БиоДека 15 С 1000                                      со скидкой	шт.	1	169 000	160 600	БиоДека		15		С	1 000	БиоДека5…	109 850	25 000	10 500	15 500		2,00	2,00	2,57	6	4,9	7,88	13,64					15,96	21,72	600	
00-00000388	Станция БиоДека 15 П 1000                                      со скидкой	шт.	1	171 000	162 600	БиоДека		15		П	1 000	БиоДека5…	111 150	25 000	10 500	15 500		2,00	2,00	2,57	6	4,9	7,88	13,64					15,96	21,72	600	
00-00000389	Станция БиоДека 15 С 1500                                      со скидкой	шт.	1	176 840	168 000	БиоДека		15		С	1 500	БиоДека5…	114 946	28 000	10 500	15 500		2,00	2,00	3,07	6	4,9	9,19	15,99					18,84	25,64	800	
00-00000390	Станция БиоДека 15 П 1500                                      со скидкой	шт.	1	178 840	170 000	БиоДека		15		П	1 500	БиоДека5…	116 246	28 000	10 500	15 500		2,00	2,00	3,07	6	4,9	9,19	15,99					18,84	25,64	800	
